event_id,organizer_id,event_create_date,event_publish_date,event_start_date,event_currency,is_listed,event_paid_type,event_capacity,event_category,event_country
50509695,146473385,2014-01-11,2014-03-09,2014-07-06,USD,public,paid event,270.0,Food & Drink,US
50527845,426070315,2014-01-12,2014-01-12,2014-01-19,USD,public,free event,10.0,,
50543935,63125695,2014-01-12,2014-01-14,2014-02-05,USD,public,free event,79.0,,FR
50547375,421464845,2014-01-12,2014-01-12,2014-02-04,USD,public,paid event,16.0,,US
50568705,425366745,2014-01-13,2014-01-13,2014-02-08,GBP,private,free event,160.0,,GB
50596965,330286085,2014-01-13,2014-01-13,2014-03-11,GBP,public,free event,30.0,,GB
50601725,415636445,2014-01-13,2014-01-13,2014-02-08,USD,public,free event,50.0,,US
50622645,262307630,2014-01-13,2014-01-13,2014-03-08,USD,private,free event,200.0,,US
50628855,85546735,2014-01-13,2014-01-13,2014-03-11,USD,public,free event,20.0,,US
50647155,33795415,2014-01-13,2014-01-13,2014-02-08,USD,private,free event,50.0,,US
50683695,265297860,2014-01-14,2014-01-14,2014-01-29,GBP,public,paid event,301.0,,GB
50732655,23767550,2014-01-14,2014-01-14,2014-02-23,USD,public,paid event,80.0,Business & Professional,US
50738935,221140735,2014-01-14,2014-01-14,2014-02-20,USD,public,free event,8.0,Travel & Outdoor,US
50772215,51274375,2014-01-15,2014-01-27,2014-02-26,USD,private,free event,100.0,,
50794985,2928835,2014-01-15,2014-01-15,2014-02-12,USD,private,free event,20.0,,CA
50822775,307601945,2014-01-15,2014-01-15,2014-03-01,USD,public,free event,30.0,Hobbies & Special Interest,US
50842335,298798055,2014-01-15,2014-01-15,2014-03-01,USD,public,free event,10.0,,US
50874775,286461965,2014-01-16,2014-01-16,2014-02-19,USD,public,free event,100.0,,US
50882585,458670,2014-01-16,2014-01-16,2014-04-05,USD,public,free event,50.0,,US
50889925,349631835,2014-01-16,2014-01-16,2014-04-05,GBP,private,paid event,2100.0,,
50908265,244975590,2014-01-16,2014-01-16,2014-02-11,USD,public,paid event,1000.0,,
50923925,429110225,2014-01-16,2014-01-16,2014-09-15,USD,private,free event,15.0,,US
50933045,10352135,2014-01-16,2014-01-16,2014-02-12,USD,public,paid event,48.0,,US
50955685,429363885,2014-01-17,2014-03-03,2014-04-04,USD,public,paid event,50.0,,US
50983605,18888700,2014-01-17,2014-01-17,2014-02-01,USD,public,free event,35.0,,US
51016015,247610630,2014-01-17,2014-01-17,2014-07-12,USD,public,paid event,32.0,,US
51032155,253504350,2014-01-18,2014-02-19,2014-03-25,USD,public,paid event,30.0,,US
51036705,248336120,2014-01-18,2014-01-18,2014-02-22,USD,public,free event,200.0,Business & Professional,
51041025,41250,2014-01-31,2014-01-31,2014-02-20,USD,public,free event,1620.0,,US
51066665,292846545,2014-01-19,2014-01-19,2014-02-13,USD,private,free event,10.0,Film & Media & Entertainment,US
51077485,430286185,2014-01-19,2014-01-19,2014-01-25,USD,public,paid event,20.0,,US
51131075,345899795,2014-01-20,2014-01-20,2014-01-28,USD,private,free event,70.0,,US
51145005,16833090,2014-01-20,2014-01-20,2014-01-23,USD,private,free event,300.0,,US
51169045,368682435,2014-01-20,2014-10-02,2015-01-27,USD,public,paid event,24.0,Business & Professional,US
51185745,338191245,2014-01-20,2014-01-22,2014-01-28,USD,private,free event,200.0,,SA
51209405,288466755,2014-01-21,2014-01-21,2014-03-29,USD,public,free event,42.0,,US
51210995,382481455,2014-01-21,2014-01-21,2014-03-03,USD,public,free event,180.0,,US
51227395,103981310,2014-01-21,2014-01-21,2014-01-24,USD,public,paid event,100.0,Music,US
